Horizonte,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC
3 dias,0.6889530581873352,0.21291695535182953,0.7233782129738109,0.7003058103975535,0.6808872194891342,0.7632850241545893,0.7724990633195954
7 dias,0.8076253972807643,0.44667354226112366,0.8108474576266193,0.7920489296636085,0.7908575845518603,0.8162162162162162,0.8662996757408944
15 dias,0.8722792162480418,0.35231828689575195,0.8770545693617623,0.8532110091743119,0.8523499281377224,0.873015873015873,0.9244080145719489
30 dias,0.9076329627608827,0.5781351327896118,0.9093247588419437,0.9174311926605505,0.9169213538046971,0.9319899244332494,0.9675218975273235
