Horizonte,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC
3 dias,0.5929853224820484,0.34383600522050656,0.6720729853011247,0.5060606060606061,0.3400890189622584,0.6720321931589537,0.590646927004886
7 dias,0.6405371385836376,0.3642706866567302,0.6983805668011633,0.5424242424242425,0.39707919509261325,0.6973947895791583,0.6456675508399646
15 dias,0.6820570670695223,0.3582543291519195,0.7077958496910518,0.6151515151515151,0.5640928177513543,0.7208791208791209,0.6773728562980486
30 dias,0.713848446864313,0.2852649035429818,0.7363344051442189,0.6454545454545455,0.5942732186408936,0.7473002159827213,0.7385283635283635
