Horizonte,Accuracy,Precision,Recall,F1-Score,AUC-ROC
3 dias,0.5402298850574713,0.5572954949772565,0.5402298850574713,0.5429724162309089,0.5990777159907772
7 dias,0.5287356321839081,0.5753512132822478,0.5287356321839081,0.5384798202402558,0.5571716589861752
15 dias,0.5229885057471264,0.6279277813923227,0.5229885057471264,0.5315147599471696,0.6497225970910181
30 dias,0.25287356321839083,0.8524194692777068,0.25287356321839083,0.18785385724596534,0.6457966549295775
