Date,Close,High,Low,Open,Volume,target_3d,target_7d,target_15d,target_30d,OBV,FWMA,TEMA,HLC3,BB_upper,BB_middle,BB_lower,cambio_close,cambio_close_lag_1d,cambio_close_lag_3d,cambio_close_lag_6d,cambio_close_lag_10d,soja_chicago_close,soja_chicago_close_lag_1d,soja_chicago_close_lag_3d,soja_chicago_close_lag_6d,soja_chicago_close_lag_10d
2021-05-27,,14,,3800926208496,,,14,,6875916021464,,,14,,3620049021027,,,14,,5519306927559,,445500,1,0,0,0,-183400,,14,,4745605818882,,,14,,5418604701033,,,14,,4765630416996,,,15,,3816911966361,,,14,,3877806186676,,,13,,3938700406991,,,5,,3105,,,5,,3307,,,5,,3618,,,5,,2595,,,5,,3031,,,15,,37,,,15,,035,,,15,,2275,,,15,,3825,,,16,,1225,
2021-05-28,,14,,2263431549072,,,14,,5428864273827,,,14,,1539905547719,,,14,,425313236535,,745100,0,0,0,0,-928500,,14,,3800102972839,,,14,,4387693300728,,,14,,3077400456873,,,15,,3548643258037,,,14,,3665269851685,,,13,,3781896445332,,,5,,2382,,,5,,3105,,,5,,3185,,,5,,308,,,5,,3077,,,15,,305,,,15,,37,,,15,,1175,,,15,,3325,,,16,,0375,
2021-05-31,,14,,0635509490967,,,14,,4253139681204,,,13,,7741396713666,,,14,,2534767497119,,682100,1,1,0,0,-1610600,,14,,2592180553846,,,14,,3043490869907,,,14,,0876681961946,,,15,,3393219509605,,,14,,3443689823151,,,13,,3494160136696,,,5,,238,,,5,,2382,,,5,,3307,,,5,,2813,,,5,,2695,,,,,,,,,,
2021-06-01,,14,,470534324646,,,14,,5519312182239,,,14,,0273744179564,,,14,,2173002154678,,594300,0,0,0,0,-1016300,,14,,3404589705245,,,14,,3464580908558,,,14,,3499466536088,,,15,,3453486591548,,,14,,3488910675049,,,13,,352433475855,,,5,,2166,,,5,,238,,,5,,3105,,,5,,3618,,,5,,2715,,,15,,485,,,15,,305,,,15,,035,,,15,,2625,,,15,,875,
2021-06-02,,14,,144947052002,,,14,,5428863506467,,,14,,0725944522484,,,14,,4705337508931,,568100,0,0,0,0,-1584400,,14,,2656755466732,,,14,,2658111062165,,,14,,2534759516323,,,15,,3454370562387,,,14,,3497954845429,,,13,,354153912847,,,5,,1497,,,5,,2166,,,5,,2382,,,5,,3185,,,5,,2595,,,15,,625,,,15,,485,,,15,,37,,,15,,2275,,,15,,7425,
2021-06-04,,14,,172080039978,,,14,,4524461677569,,,14,,0364191216993,,,14,,1811243311996,,437400,0,0,0,0,-1147000,,14,,2296095387689,,,14,,2161781780514,,,14,,2203151098114,,,15,,3349940021195,,,14,,367883682251,,,13,,4007733623825,,,5,,0763,,,5,,0745,,,5,,2166,,,5,,3105,,,5,,2813,,,15,,8375,,,15,,4925,,,15,,485,,,15,,035,,,15,,3325,
2021-06-07,,13,,9369325637817,,,14,,2806078409805,,,13,,8645799646358,,,14,,0454614625007,,628400,1,1,0,0,-1775400,,14,,1172919524852,,,14,,0988143818628,,,14,,027373456466,,,15,,3294470627395,,,14,,3728579044342,,,13,,416268746129,,,5,,0446,,,5,,0763,,,5,,1497,,,5,,2382,,,5,,3618,,,15,,6025,,,15,,8375,,,15,,625,,,15,,37,,,15,,2625,
2021-06-08,,13,,5932579040527,,,13,,9098011865784,,,13,,5661258937683,,,13,,8645805944303,,690500,1,1,1,0,-2465900,,13,,9164967740041,,,13,,8933731583217,,,13,,6897283281331,,,15,,337566419383,,,14,,3692402839661,,,13,,4009141485491,,,5,,0452,,,5,,0446,,,5,,0745,,,5,,238,,,5,,3185,,,15,,8,,,15,,6025,,,15,,4925,,,15,,305,,,15,,2275,
2021-06-09,,13,,9007568359375,,,13,,9098011268305,,,13,,6836990295722,,,13,,6836990295722,,430500,0,0,1,0,-2035400,,13,,9100760514064,,,13,,8504519873608,,,13,,8314189974467,,,15,,3062403953933,,,14,,3859718799591,,,13,,465703364525,,,5,,0349,,,5,,0452,,,5,,0763,,,5,,2166,,,5,,3307,,,15,,625,,,15,,8,,,15,,8375,,,15,,485,,,15,,1175,
2021-06-10,,14,,144947052002,,,14,,1992110705616,,,13,,8917120903534,,,14,,0002409899838,,468800,0,0,0,0,-1566600,,13,,9997097086955,,,13,,9083753271964,,,14,,0786234043057,,,15,,2669361855903,,,14,,4126519680023,,,13,,5583677504143,,,5,,0615,,,5,,0349,,,5,,0446,,,5,,1497,,,5,,3105,,,15,,44,,,15,,625,,,15,,6025,,,15,,625,,,15,,035,
