Date,Close,High,Low,Open,Volume,agro_soja_close_lag_1d,agro_soja_close_lag_3d,agro_soja_close_lag_6d,agro_soja_close_lag_10d,agro_cambio_close_lag_1d,agro_cambio_close_lag_3d,agro_cambio_close_lag_6d,agro_cambio_close_lag_10d,target_3d,target_7d,target_15d,target_30d,Open_lag2d,Open_lag4d,Open_lag6d,High_lag2d,High_lag4d,High_lag6d,Low_lag2d,Low_lag4d,Low_lag6d,Close_lag2d,Close_lag4d,Close_lag6d
2018-01-25,3.484243392944336,3.484243392944336,3.484243392944336,3.484243392944336,0,992.25,984.25,968.75,947.0,3.2355,3.1947,3.2227,3.2264,1,1,1,1,3.300568979793195,3.261608061615864,3.258268206418791,3.3673597087327805,3.3873969558009613,3.289436940083015,3.281645051254281,3.261608061615864,3.1970436695912703,3.3361904621124268,3.319493293762207,3.249362707138061
2018-01-26,3.543241739273072,3.5833159736313576,3.4630924998289787,3.478677381029065,964612,992.25,986.25,973.0,940.5,3.1451,3.2007,3.2222,3.2142,0,1,1,1,3.3807179855728102,3.3272850413781447,3.228212264493465,3.505393698026088,3.341756477649575,3.310587615481047,3.3540014862158443,3.268286622705254,3.228212264493465,3.484243392944336,3.3005690574646,3.2616078853607178
2018-01-29,3.582202434539795,3.611145048472632,3.426358005293145,3.575523310499337,1869692,985.5,992.25,977.25,944.0,3.1469,3.2355,3.2051,3.2007,0,0,1,1,3.484243392944336,3.300568979793195,3.261608061615864,3.484243392944336,3.3673597087327805,3.3873969558009613,3.484243392944336,3.281645051254281,3.261608061615864,3.484243392944336,3.3361904621124268,3.319493293762207
2018-01-30,3.535449266433716,3.6467672355816414,3.513185775367796,3.589994935154344,758428,991.5,992.25,984.25,968.0,3.151,3.1451,3.1947,3.2132,1,0,1,1,3.478677381029065,3.3807179855728102,3.3272850413781447,3.5833159736313576,3.505393698026088,3.341756477649575,3.4630924998289787,3.3540014862158443,3.268286622705254,3.543241739273072,3.484243392944336,3.3005690574646
2018-01-31,3.4942619800567627,3.5844291351655926,3.487582598499776,3.562165643248711,905080,1000.25,985.5,986.25,968.75,3.1536,3.1469,3.2007,3.2227,0,1,1,1,3.575523310499337,3.484243392944336,3.300568979793195,3.611145048472632,3.484243392944336,3.3673597087327805,3.426358005293145,3.484243392944336,3.281645051254281,3.582202434539795,3.484243392944336,3.3361904621124268
2018-02-01,3.536562204360962,3.5744103190890377,3.504280283547525,3.5142989701573826,888624,995.75,991.5,992.25,973.0,3.1795,3.151,3.2355,3.2222,1,1,1,1,3.589994935154344,3.478677381029065,3.3807179855728102,3.6467672355816414,3.5833159736313576,3.505393698026088,3.513185775367796,3.4630924998289787,3.3540014862158443,3.535449266433716,3.543241739273072,3.484243392944336
2018-02-02,3.5844290256500244,3.6011268367593936,3.528769912194623,3.528769912194623,1327128,985.0,1000.25,992.25,977.25,3.1847,3.1536,3.1451,3.2051,0,1,1,1,3.562165643248711,3.575523310499337,3.484243392944336,3.5844291351655926,3.611145048472632,3.484243392944336,3.487582598499776,3.426358005293145,3.484243392944336,3.4942619800567627,3.582202434539795,3.484243392944336
2018-02-05,3.4931490421295166,3.58554232181139,3.493149042129517,3.582203016158129,383328,978.75,995.75,985.5,984.25,3.1637,3.1795,3.1469,3.1947,1,1,1,1,3.5142989701573826,3.589994935154344,3.478677381029065,3.5744103190890377,3.6467672355816414,3.5833159736313576,3.504280283547525,3.513185775367796,3.4630924998289787,3.536562204360962,3.535449266433716,3.543241739273072
2018-02-06,3.5688443183898926,3.5732973248239626,3.3506619038516208,3.473110974331756,1686256,969.75,985.0,991.5,986.25,3.2154,3.1847,3.151,3.2007,1,1,1,1,3.528769912194623,3.562165643248711,3.575523310499337,3.6011268367593936,3.5844291351655926,3.611145048472632,3.528769912194623,3.487582598499776,3.426358005293145,3.5844290256500244,3.4942619800567627,3.582202434539795
2018-02-07,3.575523614883423,3.59110823897121,3.537675499007968,3.5621656225744904,1123364,986.25,978.75,1000.25,992.25,3.2611,3.1637,3.1536,3.2355,1,1,1,1,3.582203016158129,3.5142989701573826,3.589994935154344,3.58554232181139,3.5744103190890377,3.6467672355816414,3.493149042129517,3.504280283547525,3.513185775367796,3.4931490421295166,3.536562204360962,3.535449266433716
