Date,Close,High,Low,Open,Volume,agro_soja_close_lag_1d,agro_soja_close_lag_3d,agro_soja_close_lag_6d,agro_soja_close_lag_10d,agro_cambio_close_lag_1d,agro_cambio_close_lag_3d,agro_cambio_close_lag_6d,agro_cambio_close_lag_10d,target_3d,target_7d,target_15d,target_30d,Open_lag2d,Open_lag4d,Open_lag6d,High_lag2d,High_lag4d,High_lag6d,Low_lag2d,Low_lag4d,Low_lag6d,Close_lag2d,Close_lag4d,Close_lag6d
2021-05-10,13.665610313415527,13.98215359146904,13.665610313415527,13.837448388648363,601800,1621.0,1582.0,1571.0,1569.0,5.2734,5.4426,5.3364,5.4772,1,1,1,0,14.334872866169484,14.660458730259457,13.656566304060458,14.334872866169484,15.031267745959,16.17082038985934,13.756051204653172,14.199211120825348,13.566125124890124,13.81031608581543,14.38009262084961,14.651415824890137
2021-05-11,13.56612491607666,13.70178582023303,13.340022834142047,13.56612491607666,383600,1620.0,1605.5,1560.25,1549.75,5.2355,5.3527,5.4397,5.4353,1,1,1,0,13.882668710748854,14.55193088891284,15.555824571819809,14.036418201389903,14.560975179663725,15.555824571819809,13.39428822945112,14.11781442049179,14.009285370279454,13.837448120117188,14.126858711242676,14.50671100616455
2021-05-12,13.611345291137695,13.927887683366816,13.43046380093377,13.475683526601516,531400,1637.5,1621.0,1577.0,1557.75,5.2222,5.2734,5.4381,5.451,1,1,1,0,13.837448388648363,14.334872866169484,14.660458730259457,13.98215359146904,14.334872866169484,15.031267745959,13.665610313415527,13.756051204653172,14.199211120825348,13.665610313415527,13.81031608581543,14.38009262084961
2021-05-13,14.63332748413086,15.212148280282118,13.611345937787515,13.837448026911858,3053300,1660.5,1620.0,1582.0,1542.5,5.2212,5.2355,5.4426,5.3414,1,1,0,0,13.56612491607666,13.882668710748854,14.55193088891284,13.70178582023303,14.036418201389903,14.560975179663725,13.340022834142047,13.39428822945112,14.11781442049179,13.56612491607666,13.837448120117188,14.126858711242676
2021-05-14,15.103619575500488,15.501557992743138,14.741854868884312,14.814207465203154,2071600,1612.25,1637.5,1605.5,1571.0,5.3031,5.2222,5.3527,5.3364,0,0,0,0,13.475683526601516,13.837448388648363,14.334872866169484,13.927887683366816,13.98215359146904,14.334872866169484,13.43046380093377,13.665610313415527,13.756051204653172,13.611345291137695,13.665610313415527,13.81031608581543
2021-05-17,15.266414642333984,15.917589862993257,14.931784465070574,15.275458934290064,1907100,1603.75,1660.5,1621.0,1560.25,5.3077,5.2212,5.2734,5.4397,0,0,0,0,13.837448026911858,13.56612491607666,13.882668710748854,15.212148280282118,13.70178582023303,14.036418201389903,13.611345937787515,13.340022834142047,13.39428822945112,14.63332748413086,13.56612491607666,13.837448120117188
2021-05-18,15.121707916259766,15.5558252618393,14.940827270205252,15.420162621020744,843700,1587.5,1612.25,1620.0,1577.0,5.2695,5.3031,5.2355,5.4381,0,0,0,0,14.814207465203154,13.475683526601516,13.837448388648363,15.501557992743138,13.927887683366816,13.98215359146904,14.741854868884312,13.43046380093377,13.665610313415527,15.103619575500488,13.611345291137695,13.665610313415527
2021-05-19,14.72376823425293,15.230236416075838,14.58810560472755,15.040309769753502,763800,1574.25,1603.75,1637.5,1582.0,5.2715,5.3077,5.2222,5.4426,0,0,0,0,15.275458934290064,13.837448026911858,13.56612491607666,15.917589862993257,15.212148280282118,13.70178582023303,14.931784465070574,13.611345937787515,13.340022834142047,15.266414642333984,14.63332748413086,13.56612491607666
2021-05-20,14.289652824401855,14.470534331037614,14.018330133192688,14.470534331037614,1061900,1538.25,1587.5,1660.5,1605.5,5.2595,5.2695,5.2212,5.3527,1,1,0,0,15.420162621020744,14.814207465203154,13.475683526601516,15.5558252618393,15.501557992743138,13.927887683366816,14.940827270205252,14.741854868884312,13.43046380093377,15.121707916259766,15.103619575500488,13.611345291137695
2021-05-21,14.434358596801758,14.723769881300305,14.28965338580803,14.28965338580803,509200,1533.25,1574.25,1612.25,1621.0,5.308,5.2715,5.3031,5.2734,1,0,0,0,15.040309769753502,15.275458934290064,13.837448026911858,15.230236416075838,15.917589862993257,15.212148280282118,14.58810560472755,14.931784465070574,13.611345937787515,14.72376823425293,15.266414642333984,14.63332748413086
