Horizonte,CV MAE,OOF R2,OOF MAE,Test R2,Test MAE,Test RMSE
3 dias,0.3924926207653344,0.9336671753281434,0.3925098992775045,0.9477074966677259,0.3285333108387962,0.42870516818871685
7 dias,0.4538764064514407,0.9010193312622568,0.45396080270983047,0.9250514675893594,0.3960702395151586,0.520547724485148
15 dias,0.4852948722392477,0.8826499156357299,0.48536429874041515,0.8916585352617212,0.4876285382598293,0.6443619640539926
30 dias,0.4615417853150757,0.9024496200479086,0.46157177207402067,0.9460944258424834,0.3741099208396805,0.48697046757881934
