Horizonte,CV F1,Threshold Otimo (PR),OOF F1 no Threshold,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test F1 Classe Alta,Test AUC-ROC
3 dias,0.6797799982476604,0.40867351967329624,0.7157638466215465,0.6283987915407855,0.6362116468922938,0.6283987915407855,0.6177200504556327,0.6870229007633588,0.6906903612695626
7 dias,0.7826500143780971,0.4311124307154599,0.7917189460471831,0.7885196374622356,0.8079927844624333,0.7885196374622356,0.7812915279583299,0.8284313725490197,0.8682504604051566
15 dias,0.852235033477427,0.48350318204987425,0.8534031413607567,0.8429003021148036,0.8429197579510853,0.8429003021148036,0.842120336963058,0.8645833333333334,0.9233882947118242
30 dias,0.8879490976116587,0.49844963664910324,0.8886091881681597,0.8882175226586103,0.8879586494776412,0.8882175226586103,0.887878354282853,0.9063291139240506,0.93736802413273
