Horizonte,CV MAE,OOF R2,OOF MAE,Test R2,Test MAE,Test RMSE
3 dias,0.3741363234054085,0.9360059852755774,0.3741607254122119,0.9382780860545988,0.3682884185519393,0.46368494271649247
7 dias,0.5471407844476954,0.8733862669470664,0.547195666549284,0.8460063664781852,0.5592707587460808,0.7347216981053735
15 dias,0.7770280825671546,0.7490225557543254,0.7770165383183487,0.7554785182958158,0.7369332839852589,0.9650222940457605
30 dias,0.9954230625607664,0.6136241538517329,0.995328177359719,0.6177306987336069,0.9985775089942341,1.2808654855521358
