modelo_nome,Test_R2_mean,Test_R2_median,Test_R2_std,Test_R2_coefvar,Test_MAE_mean,Test_MAE_median,Test_MAE_std,Test_MAE_coefvar,Test_RMSE_mean,Test_RMSE_median,Test_RMSE_std,Test_RMSE_coefvar,OOF_R2_mean,OOF_R2_median,OOF_R2_std,OOF_R2_coefvar,OOF_MAE_mean,OOF_MAE_median,OOF_MAE_std,OOF_MAE_coefvar,CV_MAE_mean,CV_MAE_median,CV_MAE_std,CV_MAE_coefvar,Horizonte
Rede Neural (Regressão),0.9785071038212014,0.9915787095453894,0.021521962845757036,0.021994692487883723,0.3410757747706934,0.33603630211685953,0.03570527041000957,0.10468427561005869,0.4612699283899892,0.4614181161910293,0.057709168891882476,0.1251093239338403,0.9737154659311492,0.9911640946866601,0.026484931507625535,0.027199867347591528,0.37123016504722245,0.37110719168180395,0.017119571103301392,0.0461157866875492,0.3712119869815984,0.37110286983080587,0.017124357203845482,0.04613093812806849,3 dias
Regressão Linear,0.9756478536120787,0.9901771799727778,0.022245321126227756,0.022800563793453063,0.36388838554283237,0.3671968480291916,0.029249533445233723,0.08038050843969802,0.5140045532312086,0.5292514092668406,0.06528943060846897,0.12702111333068403,0.9711516273339079,0.9902334567889693,0.028619827637942647,0.029469988859013037,0.3866407884306824,0.3891828966985005,0.017120132719544393,0.0442791687577311,0.3866313700433555,0.3891737329199566,0.01711854594185594,0.04427614329363994,3 dias
Rede Neural (Regressão),0.9724518580616867,0.9906543217269206,0.02877672343572242,0.029591926013778046,0.36711436218291515,0.36908980460888224,0.03565852762118534,0.0971319329735687,0.5066609549700126,0.506865563468852,0.0542496452243251,0.10707287524758234,0.9662054155598341,0.9878680146140798,0.03575672950908532,0.03700737848624801,0.41562488880365756,0.41922073014735184,0.041199214710605885,0.09912595665094666,0.4156095084358935,0.419222764797682,0.041186958734400966,0.09910013582077112,7 dias
Regressão Linear,0.9397611004664705,0.9788174501251783,0.06001478202802794,0.06386174315816893,0.55929258595274,0.5607077737974989,0.03761899507272013,0.06726174459945178,0.7701089882155033,0.7528025087248705,0.0729160303723619,0.09468274164845542,0.9421140341133074,0.9777269579532171,0.0539481971382942,0.05726291636136044,0.5807078804029296,0.5657394192253822,0.03201679704890079,0.05513408398502469,0.5807092162675723,0.5657369774015066,0.032007821123355915,0.055118500321179216,7 dias
Rede Neural (Regressão),0.9609988625235896,0.986883348788046,0.04185784353870357,0.04355660050292316,0.4257702670348291,0.4321584588554198,0.05725661162446573,0.1344777126482202,0.595612856384797,0.6027128393672716,0.08435646236372475,0.14162968690055622,0.9609327001086921,0.9822279365048685,0.0390405754978954,0.04062779369822619,0.4574548879712887,0.4612492890149015,0.06097398549850826,0.1332896141276671,0.4574470579977532,0.46125249442705907,0.06096261067776204,0.13326702972928828,15 dias
Regressão Linear,0.8896994207497935,0.9597218057334906,0.10975605397454155,0.12336307230822374,0.7737525515337206,0.7543197384479932,0.06950065610450479,0.08982284577510166,1.0492725913671366,0.9958290569574293,0.11894417668012022,0.11335869978757702,0.8868644546448006,0.9530819707639654,0.10293267410201573,0.11606359186336028,0.8298383800051577,0.811273819669476,0.06707845293218277,0.0808331532361348,0.8298276721706638,0.8112740905688499,0.06704733800252613,0.08079670062959417,15 dias
Rede Neural (Regressão),0.9709734401843001,0.9773694648149206,0.01988658683192568,0.020481082189180183,0.4542188561676759,0.4108221624710704,0.11125572149082304,0.24493857967391988,0.6413201931670581,0.547200324398871,0.21400587926469064,0.3336958379680149,0.9591730590641631,0.9728160376306881,0.03388102325711316,0.03532315981661315,0.4909419376960052,0.4810554086098676,0.10386571105233643,0.21156414450918395,0.4909300216078496,0.48105076474785347,0.103844935202611,0.2115269603242178,30 dias
Regressão Linear,0.8273857231096874,0.9204852538191183,0.15256779811338786,0.18439742655936764,1.0962300907352576,1.0413336043877395,0.11195370238773074,0.10212609864836109,1.4191475155277757,1.2974153802418162,0.19379139316466992,0.13655479155216618,0.8178077480853242,0.9167527736021643,0.15514130381086552,0.18970388110663777,1.1155269528629892,1.1124192678246743,0.10046399810822086,0.09005967793999148,1.1155291064412836,1.1124148507265634,0.10044020770861298,0.09003817751473409,30 dias
