Horizonte,R2,MAE,RMSE,modelo,modelo_nome,dataset,dataset_nome,ticker,tipo,Accuracy,Precision,Recall,F1-Score,AUC-ROC
3 dias,0.945421194372718,0.345253253402786,0.4327567941891111,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SOJA3,regressao,,,,,
7 dias,0.858381970213081,0.555391775405646,0.70101822981311,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SOJA3,regressao,,,,,
15 dias,0.7314360530306998,0.7194662405790275,0.9313000200432654,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SOJA3,regressao,,,,,
30 dias,0.5337773463958106,1.0000226846360267,1.3034970388926417,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SOJA3,regressao,,,,,
3 dias,0.9887312800761257,0.4265979133531021,0.6308916179985605,regressao_linear,Regressão Linear,dataset_dummy,Dummy,AGRO3,regressao,,,,,
7 dias,0.9758666496104726,0.6221730018261687,0.9322736144274668,regressao_linear,Regressão Linear,dataset_dummy,Dummy,AGRO3,regressao,,,,,
15 dias,0.9536438415690408,0.884520060339891,1.2907204308196654,regressao_linear,Regressão Linear,dataset_dummy,Dummy,AGRO3,regressao,,,,,
30 dias,0.912273482387085,1.264917246231036,1.7388318457890644,regressao_linear,Regressão Linear,dataset_dummy,Dummy,AGRO3,regressao,,,,,
3 dias,0.9905870734608976,0.3680477969414475,0.5161251966095488,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SLCE3,regressao,,,,,
7 dias,0.9798896036710812,0.5734742301877586,0.7546347979804641,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SLCE3,regressao,,,,,
15 dias,0.963871742583593,0.7490226842945026,1.0045998910482403,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SLCE3,regressao,,,,,
30 dias,0.917260279470461,1.187484743967796,1.5058753838801722,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SLCE3,regressao,,,,,
3 dias,0.9894666096013872,0.4270222195004056,0.6219090124150877,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,AGRO3,regressao,,,,,
7 dias,0.977255109074338,0.610726947646829,0.9134301923339496,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,AGRO3,regressao,,,,,
15 dias,0.9562971137164537,0.9081887447216916,1.2566929203053812,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,AGRO3,regressao,,,,,
30 dias,0.9250687597153092,1.1878577261389132,1.6354252408313243,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,AGRO3,regressao,,,,,
3 dias,0.9918203754864482,0.3694630649128637,0.4874687790302467,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SLCE3,regressao,,,,,
7 dias,0.9815050094720772,0.5413060615692276,0.7274633939672706,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SLCE3,regressao,,,,,
15 dias,0.9648643262753288,0.7446794035358343,0.9825499871934408,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SLCE3,regressao,,,,,
30 dias,0.9363054228452136,0.9878502589130256,1.3178820455525868,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SLCE3,regressao,,,,,
