Horizonte,R2,MAE,RMSE,modelo,modelo_nome,dataset,dataset_nome,ticker,tipo,Accuracy,Precision,Recall,F1-Score,AUC-ROC
7 dias,,,,random_forest,Random Forest,dataset_janelas,Janelas,SOJA3,classificacao,0.5988700564971752,0.5989595055487267,0.5988700564971752,0.5988956673475185,0.6368454661558111
15 dias,,,,random_forest,Random Forest,dataset_janelas,Janelas,SOJA3,classificacao,0.7231638418079096,0.7230799206616781,0.7231638418079096,0.7225413983853853,0.7468637992831542
30 dias,,,,random_forest,Random Forest,dataset_janelas,Janelas,SOJA3,classificacao,0.7457627118644068,0.7493868028475342,0.7457627118644068,0.7402670689620948,0.8537296037296038
3 dias,,,,random_forest,Random Forest,dataset_janelas,Janelas,SLCE3,classificacao,0.5718475073313783,0.5717609330512556,0.5718475073313783,0.5710944975677359,0.6439237544728874
7 dias,,,,random_forest,Random Forest,dataset_janelas,Janelas,SLCE3,classificacao,0.6891495601173021,0.6899936601667733,0.6891495601173021,0.689358378622804,0.776535541752933
15 dias,,,,random_forest,Random Forest,dataset_janelas,Janelas,SLCE3,classificacao,0.6950146627565983,0.6945235390767244,0.6950146627565983,0.6939013454012041,0.7951655262976016
30 dias,,,,random_forest,Random Forest,dataset_janelas,Janelas,SLCE3,classificacao,0.7243401759530792,0.7239957487846641,0.7243401759530792,0.7241429324489618,0.8056117113976995
3 dias,,,,random_forest,Random Forest,dataset_janelas,Janelas,AGRO3,classificacao,0.5571847507331378,0.556584292374798,0.5571847507331378,0.5566497697190168,0.6035379633457352
7 dias,,,,random_forest,Random Forest,dataset_janelas,Janelas,AGRO3,classificacao,0.5659824046920822,0.5628791526239769,0.5659824046920822,0.5634788667711847,0.6101118133203695
15 dias,,,,random_forest,Random Forest,dataset_janelas,Janelas,AGRO3,classificacao,0.6686217008797654,0.6656674889133948,0.6686217008797654,0.6650298123765769,0.7405300378098305
30 dias,,,,random_forest,Random Forest,dataset_janelas,Janelas,AGRO3,classificacao,0.7214076246334311,0.7184196851535561,0.7214076246334311,0.7164798107702293,0.80863539445629
3 dias,,,,random_forest,Random Forest,dataset_indicadores,Indicadores,SOJA3,classificacao,0.7528735632183908,0.7538377015803251,0.7528735632183908,0.7521266104915457,0.798611111111111
7 dias,,,,random_forest,Random Forest,dataset_indicadores,Indicadores,SOJA3,classificacao,0.6954022988505747,0.6957555591008198,0.6954022988505747,0.6953721157588011,0.8167283298097251
15 dias,,,,random_forest,Random Forest,dataset_indicadores,Indicadores,SOJA3,classificacao,0.867816091954023,0.8697390026791116,0.867816091954023,0.8673542334353439,0.930888388719714
30 dias,,,,random_forest,Random Forest,dataset_indicadores,Indicadores,SOJA3,classificacao,0.9022988505747126,0.9040671971706457,0.9022988505747126,0.901673896527216,0.9548132280091044
3 dias,,,,random_forest,Random Forest,dataset_indicadores,Indicadores,SLCE3,classificacao,0.665680473372781,0.6656624332515515,0.665680473372781,0.6656189933600032,0.712207164618132
7 dias,,,,random_forest,Random Forest,dataset_indicadores,Indicadores,SLCE3,classificacao,0.7899408284023669,0.7904889822120462,0.7899408284023669,0.7900420635121856,0.8831631399796471
15 dias,,,,random_forest,Random Forest,dataset_indicadores,Indicadores,SLCE3,classificacao,0.849112426035503,0.8505780418676346,0.849112426035503,0.8492433187549592,0.921893116896806
30 dias,,,,random_forest,Random Forest,dataset_indicadores,Indicadores,SLCE3,classificacao,0.8875739644970414,0.8880779609006432,0.8875739644970414,0.8877010668865872,0.9465594786981618
3 dias,,,,random_forest,Random Forest,dataset_indicadores,Indicadores,AGRO3,classificacao,0.6479289940828402,0.6481975790875073,0.6479289940828402,0.6480122602650513,0.7111130587204207
7 dias,,,,random_forest,Random Forest,dataset_indicadores,Indicadores,AGRO3,classificacao,0.7603550295857988,0.7605734279474332,0.7603550295857988,0.7584939886844515,0.8286644029428412
