modelo_nome,Test_R2,Test_MAE,Test_RMSE,OOF_R2,OOF_MAE,CV_MAE,Horizonte
Rede Neural (Regressão),0.9785071038212013,0.34107577477069334,0.4612699283899891,0.9737154659311492,0.37123016504722245,0.3712119869815984,3 dias
Regressão Linear,0.9756478536120788,0.36388838554283237,0.5140045532312086,0.9711516273339079,0.3866407884306824,0.3866313700433555,3 dias
Rede Neural (Regressão),0.9724518580616867,0.36711436218291515,0.5066609549700126,0.9662054155598341,0.4156248888036575,0.4156095084358935,7 dias
Regressão Linear,0.9397611004664705,0.5592925859527399,0.7701089882155033,0.9421140341133075,0.5807078804029296,0.5807092162675723,7 dias
Rede Neural (Regressão),0.9609988625235898,0.4257702670348291,0.595612856384797,0.9609327001086921,0.4574548879712887,0.4574470579977532,15 dias
Regressão Linear,0.8896994207497934,0.7737525515337206,1.0492725913671366,0.8868644546448005,0.829838380005158,0.8298276721706639,15 dias
Rede Neural (Regressão),0.9709734401843001,0.4542188561676758,0.641320193167058,0.9591730590641631,0.49094193769600514,0.49093002160784965,30 dias
Regressão Linear,0.8273857231096874,1.0962300907352578,1.419147515527776,0.8178077480853242,1.1155269528629892,1.1155291064412836,30 dias
