Horizonte,CV F1,Threshold Otimo (PR),OOF F1 no Threshold,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test F1 Classe Alta,Test AUC-ROC
3 dias,0.6871838166830694,0.38739131709513636,0.7179487179482275,0.6863905325443787,0.7258264200061341,0.6863905325443787,0.6775151100600174,0.7253886010362695,0.7855337078651685
7 dias,0.7688042340706402,0.41658013383519266,0.7792915531330192,0.7928994082840237,0.8001797854097615,0.7928994082840237,0.7917624940317208,0.8066298342541437,0.861764705882353
15 dias,0.8810777094697404,0.4346525568550568,0.8824427480911035,0.834319526627219,0.8381580432862484,0.834319526627219,0.8343659357234018,0.8333333333333334,0.9338483146067416
30 dias,0.8884992946792154,0.5041643758976043,0.8922558922553923,0.8698224852071006,0.8791564560795329,0.8698224852071006,0.8700961973912741,0.8658536585365854,0.9606677985285795
