Horizonte,CV F1,Threshold Otimo (PR),OOF F1 no Threshold,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test F1 Classe Alta,Test AUC-ROC
3 dias,0.6862567697668952,0.35543189228549027,0.6940298507457875,0.5895953757225434,0.6423741570327554,0.5895953757225434,0.5653434767151932,0.6602870813397129,0.7183306494900698
7 dias,0.7732481402097371,0.44105742484912386,0.7846364883396943,0.7052023121387283,0.7159696248441573,0.7052023121387283,0.7017967789771491,0.7329842931937173,0.7927024859663192
15 dias,0.8379482596559189,0.45264517346057814,0.8508124076804462,0.8092485549132948,0.8120791929163691,0.8092485549132948,0.8093377953554405,0.8070175438596491,0.9248190833556686
30 dias,0.8655061388080323,0.4217047858568464,0.8710691823894384,0.9017341040462428,0.9126097539100072,0.9017341040462428,0.9020762990296411,0.896969696969697,0.979517091698318
