Horizonte,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC
3 dias,0.6615935643423634,0.16790086030960083,0.7031249999995192,0.6042296072507553,0.5681435766624362,0.6946386946386947,0.7216988022202747
7 dias,0.7897972448249473,0.27464359998703003,0.8002569043026522,0.7522658610271903,0.74289668480654,0.7970297029702971,0.8654212454212454
15 dias,0.8229810193821182,0.4547545909881592,0.8351648351643353,0.8157099697885196,0.81397801429421,0.8390501319261213,0.9096221699500147
30 dias,0.885501553735768,0.4621369242668152,0.8903924221916516,0.8731117824773413,0.8730249948396539,0.8858695652173914,0.9503027617781716
