Horizonte,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC
3 dias,0.6723609778848855,0.6005466713938267,0.6726998491699909,0.5075528700906344,0.3417590467944953,0.6733466933867736,0.4770303827052294
7 dias,0.6927270504828259,0.601956358249437,0.6927263730821794,0.5287009063444109,0.36570220794573877,0.691699604743083,0.45681318681318683
15 dias,0.7729364053206493,0.4700820287519995,0.7877094972062039,0.7341389728096677,0.7284285704149059,0.7766497461928934,0.8211922963834167
30 dias,0.8291777344171486,0.4124678370117735,0.8347597103352479,0.7915407854984894,0.7895352610568508,0.8207792207792208,0.8870920100428297
