Horizonte,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC
3 dias,0.6723609778848855,0.5946208354181742,0.6726998491699909,0.49244712990936557,0.32497523147865015,0.0,0.47622699386503076
7 dias,0.6927270504828259,0.594762591060951,0.6927263730821794,0.47129909365558914,0.3019411031222665,0.0,0.4682417582417582
15 dias,0.7267766650851131,0.38244027754785487,0.75058548009319,0.7069486404833837,0.6886251114465443,0.7717647058823529,0.8500073507791827
30 dias,0.7859511656061478,0.43768667540376094,0.7925283522343235,0.8066465256797583,0.8065142778509012,0.8260869565217391,0.9087284005316791
