Horizonte,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC
3 dias,0.6839992062450391,0.531333574918382,0.6857429718870992,0.4666666666666667,0.4087657106026426,0.2413793103448276,0.5334142484092831
7 dias,0.7072698366816014,0.5361715326366774,0.7122337790981047,0.5515151515151515,0.535864244687774,0.6372549019607843,0.578330675961289
15 dias,0.7210869098567,0.5388112897822149,0.7252747252742587,0.5272727272727272,0.5255353342309864,0.515527950310559,0.5887470131421744
30 dias,0.7930604744407759,0.43514158875340025,0.8013816925729081,0.7424242424242424,0.7294368977127599,0.8045977011494253,0.8048438447543966
