Horizonte,Accuracy_Teste,F1_Teste,AUC_Teste,Accuracy_OOT,F1_OOT,AUC_OOT
3 dias,0.7317073170731707,0.7317073170731707,0.7934475055845123,0.5,0.49325337331334335,0.514792899408284
7 dias,0.7682926829268293,0.7668347492463689,0.8435222370965342,0.6153846153846154,0.561965811965812,0.5714285714285714
15 dias,0.8658536585365854,0.8657736666812105,0.919434102755026,0.8076923076923077,0.8062678062678063,0.9151515151515153
30 dias,0.8475609756097561,0.847635121878214,0.9553558052434458,0.7692307692307693,0.8695652173913044,
