Horizonte,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC
3 dias,0.6075101987585387,0.44989561050748483,0.6850551654960387,0.5181818181818182,0.3537289058247142,0.6826347305389222,0.5557394534554415
7 dias,0.6681399776906567,0.23483480996199468,0.7072691552058296,0.5515151515151515,0.39533689839572195,0.7098039215686275,0.5572323779153843
15 dias,0.6695975952169019,0.3861938821510978,0.7254901960779587,0.5878787878787879,0.47169755958903165,0.7290836653386454,0.5952807646356033
30 dias,0.7089800549711838,0.24909239419068502,0.7449275362314156,0.6,0.4621978021978022,0.7461538461538462,0.6463386901152214
