Modelo,R²_sem_dummy,R²_com_dummy,MAE_sem_dummy,MAE_com_dummy
High,0.9157414930200651,0.9166229690367742,1.179104453342338,1.1912577482201139
Low,0.9153536804667599,0.9159102193370305,1.1930436297619997,1.2018407512771598
Open,0.9125651443535512,0.9133908737155584,1.2096553210245031,1.2169641184552071
