Horizonte,R² Sem Dummy,R² Com Dummy,MAE Sem Dummy,MAE Com Dummy,Melhoria R²,Melhoria MAE
7 dias,0.9798155667182361,0.9797521699847039,0.5686682414449076,0.5711046044828747,-6.339673353217279e-05,-0.0024363630379671264
15 dias,0.9637287937335375,0.9635671525691071,0.7477081338125015,0.749708253553114,-0.00016164116443040388,-0.002000119740612538
30 dias,0.9161496649209241,0.916999192275072,1.1824243366883669,1.1903441627719265,0.0008495273541478943,-0.007919826083559567
