Horizonte,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC
3 dias,0.683606121173493,0.5947071257227117,0.6849725411877673,0.48036253776435045,0.31174548369196625,0.0,0.5069109258446687
7 dias,0.7074349377177075,0.6254195106378186,0.7088235294113071,0.45317220543806647,0.28264378717550925,0.0,0.5521546961325967
15 dias,0.724369037668567,0.45554479773488293,0.7506673785366267,0.6858006042296072,0.6574259133023286,0.7678571428571429,0.735925430778372
30 dias,0.804288036189116,0.4865958906331001,0.8050541516240506,0.7824773413897281,0.7834719858719886,0.8105263157894737,0.8437405731523379
