Horizonte,CV F1,Threshold Otimo (PR),OOF F1 no Threshold,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test F1 Classe Alta,Test AUC-ROC
3 dias,0.6661242827017135,0.32420984707298073,0.708525345621646,0.6072507552870091,0.6879978773636167,0.6072507552870091,0.5556783633917743,0.7085201793721974,0.7339687408705814
7 dias,0.7929787180078262,0.46911957117243813,0.8088033012374649,0.7824773413897281,0.7887735701635586,0.7824773413897281,0.7798107881934101,0.8095238095238095,0.878974358974359
15 dias,0.836382496778799,0.42706525687484354,0.8418945963970995,0.8157099697885196,0.8294037732728131,0.8157099697885196,0.8115721156042804,0.8455696202531645,0.9299470743898852
30 dias,0.8859402166486117,0.4714969309165113,0.888135593219839,0.879154078549849,0.8796879538717509,0.879154078549849,0.8792920610015967,0.8895027624309392,0.952407325358145
