Horizonte,CV MAE,OOF R2,OOF MAE,Test R2,Test MAE,Test RMSE
3 dias,0.4072633271371956,0.9903153166000956,0.40728094040334434,0.9907572558952129,0.3812449218820925,0.5782004270542503
7 dias,0.6289608443819572,0.9772741177982943,0.6289699120358201,0.9814183202561017,0.5665730125552395,0.816621015366154
15 dias,0.9376096812923272,0.951873663072368,0.9376622787150746,0.9642833374265011,0.7681250603811346,1.129393928430753
30 dias,1.2578951545954253,0.9162061270664993,1.2579346346933398,0.9226102808378668,1.2331508267377074,1.692156694532209
