Horizonte,R²,MAE,RMSE
3 dias,0.9457967672002632,0.34287607236173406,0.43126526039449853
7 dias,0.8585344351660186,0.5555595817406662,0.7006407726001245
15 dias,0.7317734656547383,0.7185167856982969,0.9307148127839432
30 dias,0.5334896898731789,1.0026135906710567,1.3038991017305244
