Horizonte,CV MAE,OOF R2,OOF MAE,Test R2,Test MAE,Test RMSE
3 dias,0.3929279317937467,0.9300689503180543,0.3929423059263318,0.9514773640020978,0.31842029411669626,0.41296305089821284
7 dias,0.5611627500768431,0.8660163949028344,0.5611224455408798,0.8696114031135418,0.5099279897580603,0.6865920835738691
15 dias,0.7734127323598857,0.736740494284079,0.7734521755390591,0.7556973490799209,0.7412083310756826,0.9676017272835317
30 dias,1.018061888557725,0.5925927738016955,1.0179708910589191,0.6281067142893103,1.018770388172247,1.2790718906561755
