Horizonte,R2,MAE,RMSE
3 dias,0.9454006796837877,0.33917778279216804,0.43283811730375626
7 dias,0.8562382738962739,0.5599434896116711,0.7063040183395253
15 dias,0.7428772397166357,0.7041254646732755,0.9112468030776172
30 dias,0.5917536440444378,0.9495561193904619,1.219760376689292
