Horizonte,CV MAE,OOF R2,OOF MAE,Test R2,Test MAE,Test RMSE
3 dias,0.3743652433156652,0.990151596977843,0.37434546378736555,0.9914003785675998,0.3521795674821943,0.4915026368471634
7 dias,0.569236663113049,0.9790515797706204,0.5692630422777727,0.9797848896796255,0.562144788848917,0.7542498747852212
15 dias,0.8106610957877003,0.9583572401360458,0.810645824998849,0.9639816567412207,0.7596249751973562,0.9942247500670813
30 dias,1.0982657620030336,0.9260371296956554,1.0982751904184747,0.9281174594648741,1.1234804391962112,1.4029203837830826
