Horizonte,CV MAE,OOF R2,OOF MAE,Test R2,Test MAE,Test RMSE
3 dias,0.38566132001746756,0.9336105734899317,0.38565978901098674,0.9422277086914462,0.33509364140664505,0.4645441774834528
7 dias,0.5452020296081983,0.871815692501713,0.5451444323582524,0.8514375420844632,0.5513537392699679,0.7513551426645199
15 dias,0.7402197446214431,0.7694690320489068,0.7400660987912474,0.7028591015268022,0.8559818725323861,1.067705722071093
30 dias,1.0202552938881122,0.600590079836671,1.0202712698773775,0.6022041372288081,1.0331724686087496,1.2850610084026008
