Horizonte,CV MAE,OOF R2,OOF MAE,Test R2,Test MAE,Test RMSE
3 dias,0.3665433998207316,0.9909513511868598,0.36656602867222815,0.9903296287272718,0.36540867332167837,0.5287643898193211
7 dias,0.5632236694697454,0.9797634551449551,0.5632248885336603,0.9820404495392204,0.5334758934421646,0.7188046671152681
15 dias,0.7932255040510264,0.9605803513467166,0.7932497613989468,0.9693104967249259,0.6951092327759179,0.9350637472233383
30 dias,1.090006828584095,0.9298434308663961,1.0900579790611633,0.9439020670843196,0.9901992936620875,1.2533965966788423
