Date,Close,High,Low,Open,Volume,agro_soja_close_lag_1d,agro_soja_close_lag_3d,agro_soja_close_lag_6d,agro_soja_close_lag_10d,agro_cambio_close_lag_1d,agro_cambio_close_lag_3d,agro_cambio_close_lag_6d,agro_cambio_close_lag_10d,Close_3d_fut,Close_7d_fut,Close_15d_fut,Close_30d_fut,OBV,FWMA,TEMA,HLC3,BB_upper,BB_middle,BB_lower
2021-05-27,14.38009262084961,14.687591602146364,14.362004902102695,14.551930692755926,445500,1503.5,1522.75,1538.25,1612.25,5.3307,5.3618,5.2595,5.3031,14.144947052001951,13.9007568359375,13.665610313415527,13.213407516479492,-183400,14.474560581888195,14.541860470103314,14.476563041699556,15.381691196636105,14.387780618667602,13.393870040699099
2021-05-28,14.226343154907228,14.542886427382674,14.153990554771871,14.425313236534963,745100,1537.0,1511.75,1533.25,1603.75,5.3105,5.3185,5.308,5.3077,14.172080039978027,14.144947052001951,13.53899383544922,13.14105224609375,-928500,14.380010297283922,14.438769330072798,14.30774004568726,15.354864325803682,14.366526985168457,13.378189644533233
2021-06-01,14.470534324645996,14.5519312182239,14.027374417956366,14.217300215467787,594300,1530.5,1503.5,1526.25,1587.5,5.238,5.3105,5.3618,5.2715,13.936932563781738,14.027374267578123,13.22244930267334,13.22244930267334,-334200,14.414829346035848,14.446401358515736,14.349946653608754,15.352107196057432,14.364718151092529,13.377329106127625
2021-06-02,14.144947052001951,14.542886350646665,14.072594452248367,14.47053375089308,568100,1548.5,1537.0,1522.75,1574.25,5.2166,5.2382,5.3185,5.2595,13.593257904052734,13.837448120117188,13.46664047241211,12.706937789916992,-902300,14.312143275510467,14.338788515524834,14.253475951632327,15.345167306901033,14.352960872650147,13.360754438399262
2021-06-04,14.172080039978027,14.452446167756946,14.036419121699335,14.181124331199564,437400,1549.25,1548.5,1503.5,1533.25,5.0745,5.2166,5.3105,5.2813,13.9007568359375,13.918846130371094,13.448553085327148,12.571276664733888,-464900,14.258548678539345,14.268216545511422,14.220315109811438,15.345463066405589,14.355221939086913,13.364980811768238
2021-06-07,13.936932563781738,14.280607840980512,13.864579964635787,14.045461462500665,628400,1583.75,1562.5,1537.0,1526.25,5.0763,5.1497,5.2382,5.3618,14.144947052001951,13.945977210998535,13.294803619384766,11.992454528808594,-1093300,14.13529751121877,14.134731073928394,14.027373456466014,15.338657520020282,14.36155276298523,13.384448005950178
2021-06-08,13.593257904052734,13.909801186578417,13.566125893768293,13.864580594430311,690500,1560.25,1549.25,1530.5,1522.75,5.0446,5.0745,5.238,5.3185,14.027374267578123,13.88266944885254,13.837448120117188,11.757309913635254,-1783800,13.927595461599726,13.91700236027492,13.689728328133148,15.359564173831032,14.349343252182006,13.33912233053298
2021-06-09,13.9007568359375,13.909801126830484,13.683699029572209,13.683699029572209,430500,1580.0,1583.75,1548.5,1511.75,5.0452,5.0763,5.2166,5.3307,13.837448120117188,13.819360733032228,13.98215389251709,11.856793403625488,-1353300,13.916836161158875,13.864830682854373,13.83141899744673,15.342889420648543,14.361100578308106,13.379311735967669
2021-06-10,14.144947052001951,14.19921107056163,13.891712090353389,14.000240989983762,468800,1562.5,1560.25,1562.5,1503.5,5.0349,5.0446,5.1497,5.3105,13.918846130371094,13.665610313415527,13.665610313415527,12.182380676269531,-884500,14.003644696597394,13.915895903365108,14.078623404305658,15.305011182683645,14.39004168510437,13.475072187525095
2021-06-11,14.027374267578123,14.190167190477675,13.927888793155624,14.190167190477675,282900,1544.0,1580.0,1549.25,1537.0,5.0615,5.0452,5.0745,5.2382,13.945977210998535,13.53899383544922,13.63847827911377,12.336130142211914,-1167400,14.01259717689808,13.91782321532467,14.048476750403808,15.268386649891283,14.410843133926392,13.5532996179615
2021-06-14,13.837448120117188,14.199211120148462,13.837448120117188,14.126858520142209,376500,1508.5,1562.5,1583.75,1530.5,5.0545,5.0349,5.0763,5.238,13.88266944885254,13.22244930267334,13.493772506713867,12.390395164489746,-1543900,13.945536963596304,13.85696242235578,13.958035786794278,15.258466535767443,14.371049165725708,13.483631795683973
2021-06-15,13.918846130371094,14.126859656493735,13.873625536101926,14.000242165042282,304300,1472.25,1544.0,1560.25,1548.5,5.117,5.0615,5.0446,5.2166,13.819360733032228,13.46664047241211,13.475683212280272,12.345174789428713,-1239600,13.935025716166466,13.843613202336726,13.973110440988918,15.150143968153657,14.311810493469238,13.47347701878482
2021-06-16,13.945977210998535,14.072594693997948,13.837448309503769,14.009285521242722,252400,1465.75,1508.5,1580.0,1562.5,5.0586,5.0545,5.0452,5.1497,13.665610313415527,13.448553085327148,13.475683212280272,12.607451438903809,-987200,13.938978883847746,13.84703343175763,13.95200673816675,14.967438993469438,14.245788621902467,13.524138250335495
2021-06-17,13.88266944885254,14.045462376266356,13.747007669744775,13.936933470486789,298200,1448.5,1472.25,1562.5,1549.25,5.0438,5.117,5.0349,5.0745,13.53899383544922,13.294803619384766,13.340023040771484,13.00539207458496,-1285400,13.917267783901995,13.831190151093876,13.891713164954558,14.792815409877477,14.183836698532104,13.574857987186732
2021-06-18,13.819360733032228,13.918846213520936,13.701787532234455,13.801273012723165,347300,1329.75,1465.75,1544.0,1583.75,5.0543,5.0586,5.0615,5.0763,13.22244930267334,13.837448120117188,13.204363822937012,12.94208526611328,-1632700,13.879550545984545,13.800622308751494,13.813331492929207,14.712060324571233,14.13861632347107,13.565172322370906
2021-06-21,13.665610313415527,13.93693299995982,13.62943401271036,13.882668980157586,439000,1396.0,1448.5,1508.5,1560.25,5.0074,5.0438,5.0545,5.0446,13.46664047241211,13.98215389251709,13.213407516479492,12.507966995239258,-2071700,13.797722352203927,13.72735527087245,13.74399244202857,14.713251037959646,14.107414197921752,13.501577357883859
2021-06-22,13.53899383544922,13.828404244152614,13.349068039109854,13.665610458001428,740300,1415.0,1329.75,1472.25,1580.0,5.096,5.0543,5.117,5.0452,13.448553085327148,13.665610313415527,13.14105224609375,12.23664379119873,-2812000,13.698457629878913,13.631706134150587,13.572155372903895,14.698348137767741,14.062645959854127,13.426943781940512
2021-06-23,13.22244930267334,13.6384771570671,13.22244930267334,13.566124561738704,866200,1394.5,1396.0,1465.75,1562.5,5.0131,5.0074,5.0586,5.0349,13.294803619384766,13.63847827911377,13.22244930267334,12.62554168701172,-3678200,13.51628205742362,13.453470608665155,13.361125254137926,14.665822718146828,13.990745496749877,13.315668275352927
2021-06-24,13.46664047241211,13.665609685898463,13.340022994502698,13.340022994502698,318200,1385.0,1415.0,1448.5,1544.0,4.9571,5.096,5.0438,5.0615,13.837448120117188,13.493772506713867,12.706937789916992,13.113921165466309,-3360000,13.497056490992918,13.40992353171459,13.490757717604424,14.610748541354251,13.93964638710022,13.268544232846189
