Horizonte,R2,MAE,RMSE
3 dias,0.9889427681182191,0.420440818348081,0.6249433823727807
7 dias,0.9768992763552191,0.6112558983572222,0.9121103334359857
15 dias,0.9565669460985933,0.8660712835171246,1.2493630248760081
30 dias,0.9238330502706523,1.171894744199035,1.620225348028012
