Horizonte,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC
3 dias,0.659716660429676,0.13781487941741943,0.702797202796727,0.5891238670694864,0.5490287082038035,0.6851851851851852,0.723305579900672
7 dias,0.7802804036939254,0.3636912703514099,0.7971298108279448,0.7643504531722054,0.7560265139559003,0.8059701492537313,0.8668864468864469
15 dias,0.8292871605542784,0.3335287272930145,0.8356620093142049,0.8096676737160121,0.8064451954665455,0.8380462724935732,0.9131872978535724
30 dias,0.8826753568780299,0.5908396244049072,0.8863955119209589,0.8821752265861027,0.8824284386628705,0.8907563025210085,0.953810367744794
