Horizonte,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC
3 dias,0.6403125085687013,0.5972839478897841,0.6403162055331615,0.5317919075144508,0.36924419238739226,0.0,0.4232420826623725
7 dias,0.6614823585129056,0.5972481316810638,0.6627680311886406,0.5028901734104047,0.33654957759004,0.0,0.4005613472333601
15 dias,0.6683736579072703,0.37433772752216976,0.6968553459114667,0.5953757225433526,0.5536021757353102,0.6846846846846847,0.6951219512195123
30 dias,0.7831522673627938,0.45151119900228215,0.7868852459011393,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.8718122626153011
