Horizonte,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC
3 dias,0.5876024592763274,0.3856060379613576,0.6791083462929631,0.5377643504531722,0.4056782883925198,0.6871165644171779,0.5943251533742331
7 dias,0.6408656077172343,0.39749479252637043,0.7002012072430045,0.5498489425981873,0.4113119757948608,0.7014028056112225,0.6372893772893773
15 dias,0.6982580884101836,0.3661759944208035,0.7233546884095314,0.6283987915407855,0.5884798396014177,0.7248322147651006,0.6906424581005586
30 dias,0.7314473422186275,0.3705765408619418,0.7566628041710064,0.6978851963746223,0.6835998387769879,0.7619047619047619,0.7740732535814503
