Horizonte,CV F1,Threshold Otimo (PR),OOF F1 no Threshold,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test F1 Classe Alta,Test AUC-ROC
3 dias,0.6747176821823285,0.37154758226536244,0.7147846332940493,0.6363636363636364,0.6715737739490828,0.6363636363636364,0.609716182897114,0.7156398104265402,0.7026370958843651
7 dias,0.7683083167735548,0.442790517818227,0.7846058348846702,0.793939393939394,0.8079883059915439,0.793939393939394,0.7882174749929002,0.8308457711442786,0.8852386072898513
15 dias,0.8411897820170804,0.49211315909335973,0.8436268068326146,0.8484848484848485,0.8489439853076216,0.8484848484848485,0.847558465085639,0.8697916666666666,0.9198775388291517
30 dias,0.8861501718780669,0.4890057022082787,0.8895859473018843,0.8878787878787879,0.8883145602365115,0.8878787878787879,0.8870616108365654,0.9072681704260651,0.943298969072165
