Horizonte,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC
3 dias,0.6409465621218396,0.5632819672261326,0.6458123107967344,0.44508670520231214,0.33109390337005123,0.6,0.4087493290391841
7 dias,0.6614823585129056,0.5330470546010468,0.6627680311886406,0.49710982658959535,0.3401284145251399,0.6614785992217899,0.4278267842822775
15 dias,0.6486063289250218,0.21717159785885473,0.7012401352870221,0.5606936416184971,0.48911862062151085,0.6752136752136753,0.7668185473063521
30 dias,0.7619334108682118,0.42400959490656637,0.787479406918775,0.8265895953757225,0.827053507640635,0.8214285714285714,0.9362452523060227
