Horizonte,CV F1,Threshold Otimo (PR),OOF F1 no Threshold,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test F1 Classe Alta,Test AUC-ROC
3 dias,0.6373186056657555,0.3203711413629051,0.6943483275658526,0.5263157894736842,0.5877192982456141,0.5263157894736842,0.46510121457489884,0.64,0.6307270233196158
7 dias,0.7422162148466802,0.4299122036339174,0.774703557311759,0.7017543859649122,0.7388663967611336,0.7017543859649122,0.6913361523847728,0.746268656716418,0.7973453749315818
15 dias,0.7990586979885443,0.42441297758296304,0.8069666182868752,0.7894736842105263,0.8054971087209216,0.7894736842105263,0.7885649997836465,0.797752808988764,0.909478021978022
30 dias,0.8421854918808247,0.4112233129864321,0.8571428571423578,0.8947368421052632,0.8975958414554905,0.8947368421052632,0.895063340733969,0.8846153846153846,0.9609722222222222
