Horizonte,CV MAE,OOF R2,OOF MAE,Test R2,Test MAE,Test RMSE
3 dias,0.3998300860751976,0.9904531846536305,0.39983572082606,0.9897917648902466,0.4188106810242785,0.6054941464343622
7 dias,0.6215515137459066,0.9778011515496258,0.6215639226551459,0.9784248200119624,0.6114946408674553,0.8848609890956665
15 dias,0.9170838132017043,0.9534178148845004,0.9171383730167797,0.9555521875851648,0.8768209549271156,1.2613866907427764
30 dias,1.2522071383933386,0.9164337929766334,1.2522117974553322,0.9161644652954395,1.2898860180582477,1.7504280244323767
