Horizonte,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC
3 dias,0.6058736181660571,0.42845781114877773,0.6831483350146864,0.5198776758409785,0.3556507239153576,0.6841046277665996,0.5764331210191083
7 dias,0.6712656362307872,0.4391722715680063,0.7074761665825813,0.5474006116207951,0.4009700146947853,0.704,0.5570092753186033
15 dias,0.6770757430427878,0.36326783618558117,0.730653266331193,0.5932721712538226,0.4771893206959868,0.7323943661971831,0.64867941712204
30 dias,0.7374237899288432,0.2710178549581473,0.7552721922506322,0.6146788990825688,0.488512476350266,0.754863813229572,0.6527788543523757
