Horizonte,CV F1,Threshold Otimo (PR),OOF F1 no Threshold,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test F1 Classe Alta,Test AUC-ROC
3 dias,0.6904937328829414,0.3516686226009426,0.7157638466215526,0.6299694189602446,0.6794641036842871,0.6299694189602446,0.600652725990152,0.709832134292566,0.7534979423868312
7 dias,0.8113923289858466,0.4637639281874661,0.8248275862063978,0.7828746177370031,0.7958082573023361,0.7828746177370031,0.7787038264535917,0.8136482939632546,0.8882970742685672
15 dias,0.8693145914404333,0.46180145198458133,0.8752613240413121,0.8379204892966361,0.8422000006669802,0.8379204892966361,0.8364940945094606,0.8571428571428571,0.937218045112782
30 dias,0.9051700256458914,0.47812465818234295,0.9067035245330175,0.9204892966360856,0.9205575330180534,0.9204892966360856,0.9203839884313729,0.9281767955801105,0.9670844028385928
