Horizonte,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC
3 dias,0.6773048067565017,0.16624748706817627,0.7098728043605139,0.6146788990825688,0.5833994876789236,0.6985645933014354,0.7236064347175457
7 dias,0.819840447257928,0.41146403551101685,0.8341497550729786,0.7981651376146789,0.7948105094096318,0.8253968253968254,0.8869092273068268
15 dias,0.8658627020652157,0.3973589241504669,0.8702928870287888,0.8409785932721713,0.8394778764962567,0.8602150537634409,0.9311654135338346
30 dias,0.9066148696943781,0.5117207169532776,0.9083333333328334,0.9143730886850153,0.9143730886850153,0.9217877094972067,0.9688207760833458
