Horizonte,Accuracy,Precision,Recall,F1-Score,AUC-ROC
3 dias,0.7218934911242604,0.7225821689622595,0.7218934911242604,0.7220104040024004,0.7815656565656566
7 dias,0.834319526627219,0.8350242670035236,0.834319526627219,0.8342034063066605,0.8953081232492998
15 dias,0.8757396449704142,0.8767609996550835,0.8757396449704142,0.8754772801429598,0.9412878787878788
30 dias,0.8816568047337278,0.8815537948177568,0.8816568047337278,0.8814800474719503,0.9588652482269504
