Date,Close,High,Low,Open,Volume,agro_soja_close_lag_1d,agro_soja_close_lag_3d,agro_soja_close_lag_6d,agro_soja_close_lag_10d,agro_cambio_close_lag_1d,agro_cambio_close_lag_3d,agro_cambio_close_lag_6d,agro_cambio_close_lag_10d,target_3d,target_7d,target_15d,target_30d,OBV,FWMA,TEMA,HLC3,BB_upper,BB_middle,BB_lower
2018-02-15,7.611401081085205,7.62822844025265,7.493612241488588,7.566529193135551,32700,1017.25,1001.75,983.0,985.0,3.2942,3.2908,3.2334,3.1847,1,1,0,0,14300,7.572149733742642,7.579622730981118,7.577747254275482,7.634791673261927,7.500343298912048,7.365894924562169
2018-02-16,7.57213830947876,7.628228436848345,7.398259342565122,7.555311485233923,71200,1024.25,1011.75,987.75,978.75,3.2162,3.294,3.2699,3.1637,1,1,0,0,-56900,7.572206602135246,7.584549578528461,7.532875362964076,7.640849489901988,7.502867364883423,7.364885239864859
2018-02-20,7.594574451446533,7.628228635728723,7.538484322614585,7.538484322614585,26300,1021.5,1017.25,983.0,969.75,3.2282,3.2162,3.2908,3.2611,1,1,0,0,-30600,7.580773738528362,7.595304670063385,7.5870958032632805,7.6510291705326345,7.507074141502381,7.363119112472127
2018-02-21,7.656272888183594,7.712363014985892,7.555311408820588,7.600183296296389,108800,1026.5,1024.25,1001.75,986.25,3.2331,3.2264,3.294,3.2334,1,0,0,0,78200,7.60967753431618,7.62412360924305,7.641315770663358,7.673764716673961,7.515768027305603,7.357771337937244
2018-02-22,7.740408897399902,7.846979507702397,7.628229166840659,7.6562736982941075,62900,1034.25,1021.5,1011.75,983.0,3.2543,3.2282,3.2942,3.2699,0,0,0,0,141100,7.659732156061013,7.6742068937521974,7.738539190647653,7.711863899421422,7.532034158706665,7.352204417991908
2018-02-23,7.706754207611084,7.7235815672826975,7.6114013091324,7.684318262964048,47300,1032.0,1026.5,1017.25,987.75,3.2676,3.2331,3.2162,3.2846,0,0,0,0,93800,7.677776427104554,7.698830796377479,7.680579028008727,7.7250087284347515,7.549702453613281,7.374396178791811
2018-02-26,7.684317588806152,7.717971770281728,7.656272526729018,7.684317588806152,47700,1036.25,1034.25,1024.25,983.0,3.2487,3.2543,3.2264,3.2908,0,0,0,0,46100,7.680324642459954,7.707983980115106,7.6861872952723,7.740703195737333,7.560920405387878,7.381137615038424
2018-02-27,7.628228187561035,7.71236284095083,7.594574005256068,7.689926897719213,36500,1034.25,1032.0,1021.5,1001.75,3.2372,3.2676,3.2282,3.294,0,0,0,0,9600,7.660448575841969,7.693729102857711,7.645055011255978,7.744923183068885,7.569333887100219,7.393744591131553
2018-02-28,7.684317588806152,7.684317588806152,7.549701932733988,7.611400641371629,46200,1038.0,1036.25,1026.5,1011.75,3.2225,3.2487,3.2331,3.2942,0,0,0,0,55800,7.66961277570976,7.701202892288047,7.639445703448764,7.758631901555308,7.577747321128845,7.396862740702382
2018-03-01,7.678707599639893,7.706752658540362,7.60018207661659,7.645053956891337,36800,1045.0,1034.25,1034.25,1017.25,3.2485,3.2372,3.2543,3.2162,0,0,0,0,19000,7.673235937741417,7.703608200745964,7.661880778265615,7.766554820792926,7.588404321670533,7.410253822548139
