Date,Close,High,Low,Open,Volume,target_3d,target_7d,target_15d,target_30d,OBV,FWMA,TEMA,HLC3,BB_upper,BB_middle,BB_lower
2021-05-27,14.38009262084961,14.687591602146364,14.362004902102695,14.551930692755926,445500,1,0,0,0,-183400,14.474560581888195,14.541860470103314,14.476563041699556,15.381691196636105,14.387780618667602,13.393870040699099
2021-05-28,14.226343154907228,14.542886427382674,14.153990554771871,14.425313236534963,745100,0,0,0,0,-928500,14.380010297283922,14.438769330072798,14.30774004568726,15.354864325803682,14.366526985168457,13.378189644533233
2021-05-31,14.06355094909668,14.425313968120404,13.774139671366628,14.253476749711904,682100,1,1,0,0,-1610600,14.259218055384638,14.304349086990666,14.08766819619457,15.339321950960546,14.344368982315064,13.349416013669583
2021-06-01,14.470534324645996,14.5519312182239,14.027374417956366,14.217300215467787,594300,0,0,0,0,-1016300,14.340458970524477,14.346458090855775,14.349946653608754,15.345348659154764,14.348891067504884,13.352433475855003
2021-06-02,14.144947052001951,14.542886350646665,14.072594452248367,14.47053375089308,568100,0,0,0,0,-1584400,14.265675546673199,14.265811106216535,14.253475951632327,15.345437056238708,14.349795484542847,13.354153912846986
2021-06-04,14.172080039978027,14.452446167756946,14.036419121699335,14.181124331199564,437400,0,0,0,0,-1147000,14.229609538768898,14.216178178051358,14.220315109811438,15.334994002119481,14.367883682250977,13.400773362382472
2021-06-07,13.936932563781738,14.280607840980512,13.864579964635787,14.045461462500665,628400,1,1,0,0,-1775400,14.117291952485242,14.098814381862777,14.027373456466014,15.329447062739451,14.372857904434204,13.416268746128956
2021-06-08,13.593257904052734,13.909801186578417,13.566125893768293,13.864580594430311,690500,1,1,1,0,-2465900,13.916496774004148,13.893373158321651,13.689728328133148,15.337566419383037,14.369240283966064,13.400914148549091
2021-06-09,13.9007568359375,13.909801126830484,13.683699029572209,13.683699029572209,430500,0,0,1,0,-2035400,13.910076051406397,13.85045198736083,13.83141899744673,15.30624039539326,14.385971879959106,13.465703364524952
2021-06-10,14.144947052001951,14.19921107056163,13.891712090353389,14.000240989983762,468800,0,0,0,0,-1566600,13.999709708695478,13.908375327196417,14.078623404305658,15.266936185590337,14.412651968002319,13.5583677504143
2021-06-11,14.027374267578123,14.190167190477675,13.927888793155624,14.190167190477675,282900,0,0,0,0,-1849500,14.010212334367855,13.915287975815549,14.048476750403808,15.246608107493707,14.382354307174683,13.51810050685566
2021-06-14,13.837448120117188,14.199211120148462,13.837448120117188,14.126858520142209,376500,1,0,0,0,-2226000,13.943840057806359,13.857957166376849,13.958035786794278,15.145513061956239,14.319045734405517,13.492578406854795
2021-06-15,13.918846130371094,14.126859656493735,13.873625536101926,14.000242165042282,304300,0,0,0,0,-1921700,13.934108469113857,13.847016659939424,13.973110440988918,14.964900715248916,14.251667308807374,13.538433902365831
2021-06-16,13.945977210998535,14.072594693997948,13.837448309503769,14.009285521242722,252400,0,0,0,0,-1669300,13.938373500870402,13.851990584641154,13.95200673816675,14.788247556561746,14.192880773544312,13.597513990526878
2021-06-17,13.88266944885254,14.045462376266356,13.747007669744775,13.936933470486789,298200,0,0,0,0,-1967500,13.916946747723749,13.837057165641628,13.891713164954558,14.705748273940038,14.150825834274292,13.595903394608545
2021-06-18,13.819360733032228,13.918846213520936,13.701787532234455,13.801273012723165,347300,0,1,0,0,-2314800,13.879385442327536,13.806921953590178,13.813331492929207,14.697121408496692,14.12731122970581,13.55750105091493
2021-06-21,13.665610313415527,13.93693299995982,13.62943401271036,13.882668980157586,439000,0,1,0,0,-2753800,13.797722352203927,13.733740930934317,13.74399244202857,14.67495594443318,14.088873815536498,13.502791686639817
2021-06-22,13.53899383544922,13.828404244152614,13.349068039109854,13.665610458001428,740300,0,1,0,0,-3494100,13.698457629878913,13.637932859782044,13.572155372903895,14.603001458468349,14.032800579071045,13.462599699673742
