Horizonte,CV Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test AUC-ROC
3 dias,0.6951986725105823,0.7159763313609467,0.7163758930036922,0.7159763313609467,0.7160758630642825,0.7826879910213244
7 dias,0.7564738087429486,0.8165680473372781,0.816599548047702,0.8165680473372781,0.8165552006129959,0.8889355742296918
15 dias,0.8812532169104781,0.8816568047337278,0.8819867332271152,0.8816568047337278,0.8816982762767843,0.9389730639730639
30 dias,0.9047672232121962,0.893491124260355,0.8939989776110177,0.893491124260355,0.8936192121839243,0.971063829787234
