Horizonte,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC
3 dias,0.6367188376794248,0.09665758907794952,0.6937853107339991,0.5555555555555556,0.4863354037267081,0.6695652173913044,0.6727023319615912
7 dias,0.7404066163071135,0.39255380630493164,0.7604456824507551,0.7076023391812866,0.7055103361044328,0.7282608695652174,0.7832512315270936
15 dias,0.8183952852967341,0.3202425241470337,0.8228404099555778,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.9346153846153846
30 dias,0.8475466060007374,0.482789009809494,0.8499156829674597,0.9005847953216374,0.9006537355141956,0.8874172185430463,0.9731944444444445
