Date,Close,High,Low,Open,Volume,Close_3d_fut,Close_7d_fut,Close_15d_fut,Close_30d_fut,dummy_period,period_1,period_2
2018-01-02,3.077933549880981,3.103536861664327,2.9721817679777898,2.9721817679777898,1227908,3.1502904891967773,3.215967893600464,3.3361904621124268,3.7291417121887207,0,0.0,0.0
2018-01-03,3.104649543762207,3.215967511010125,3.0679146171394858,3.077933303557271,2494536,3.133592367172241,3.205948829650879,3.484243392944336,3.7046520709991455,0,0.0,0.0
2018-01-04,3.092405080795288,3.1981568659068462,3.055670150118222,3.1046498864148533,2957724,3.1347053050994877,3.239343881607056,3.484243392944336,3.691294431686402,0,0.0,0.0
2018-01-05,3.1502904891967773,3.1669883026480976,3.0690283108854204,3.1380456829083427,2140248,3.211514711380005,3.250475645065308,3.5432417392730717,3.7402734756469727,0,0.0,0.0
2018-01-08,3.133592367172241,3.1836852887750173,3.112442062459163,3.150290178979283,1613172,3.215967893600464,3.249362707138061,3.582202434539795,3.6779356002807617,0,0.0,0.0
2018-01-09,3.1347053050994877,3.178119355432808,3.0890653938540926,3.1347053050994877,1759340,3.205948829650879,3.2616078853607178,3.535449266433716,3.6979730129241934,0,0.0,0.0
2018-01-10,3.211514711380005,3.3161533041782016,3.1157816181932887,3.159195671890081,2925780,3.239343881607056,3.319493293762207,3.4942619800567627,3.749178647994995,0,0.0,0.0
2018-01-11,3.215967893600464,3.261608324690869,3.172553837534429,3.2348918243984244,1887116,3.250475645065308,3.3005690574646,3.536562204360962,3.951777458190918,0,0.0,0.0
2018-01-12,3.205948829650879,3.2827579820925075,3.203721941247994,3.2181933760479584,2123308,3.249362707138061,3.3361904621124268,3.5844290256500244,3.893892288208008,0,0.0,0.0
2018-01-15,3.239343881607056,3.326171725145181,3.2059490314631374,3.2059490314631374,1513468,3.2616078853607178,3.484243392944336,3.4931490421295166,3.864948987960816,0,0.0,0.0
2018-01-16,3.250475645065308,3.291663576077396,3.228212155481432,3.291663576077396,2573912,3.319493293762207,3.484243392944336,3.5688443183898926,3.8304407596588135,0,0.0,0.0
2018-01-17,3.249362707138061,3.289436940083015,3.1970436695912703,3.258268206418791,1735140,3.3005690574646,3.5432417392730717,3.575523614883423,3.854930877685547,0,0.0,0.0
2018-01-18,3.2616078853607178,3.310587615481047,3.228212264493465,3.228212264493465,2104432,3.3361904621124268,3.582202434539795,3.534336566925049,3.951777458190918,0,0.0,0.0
2018-01-19,3.319493293762207,3.3873969558009613,3.261608061615864,3.261608061615864,1487816,3.484243392944336,3.535449266433716,3.5744104385375977,3.949550628662109,0,0.0,0.0
2018-01-22,3.3005690574646,3.341756477649575,3.268286622705254,3.3272850413781447,2268024,3.484243392944336,3.4942619800567627,3.751405477523804,3.896118402481079,0,0.0,0.0
2018-01-23,3.3361904621124268,3.3673597087327805,3.281645051254281,3.300568979793195,2001340,3.5432417392730717,3.536562204360962,3.7291417121887207,3.896118402481079,0,0.0,0.0
2018-01-24,3.484243392944336,3.505393698026088,3.3540014862158443,3.3807179855728102,1189672,3.582202434539795,3.5844290256500244,3.7046520709991455,3.898345232009888,0,0.0,0.0
2018-01-25,3.484243392944336,3.484243392944336,3.484243392944336,3.484243392944336,0,3.535449266433716,3.4931490421295166,3.691294431686402,3.962908983230591,0,0.0,0.0
2018-01-26,3.5432417392730717,3.5833159736313576,3.4630924998289787,3.478677381029065,964612,3.4942619800567627,3.5688443183898926,3.7402734756469727,3.985172271728516,0,0.0,0.0
2018-01-29,3.582202434539795,3.611145048472632,3.426358005293145,3.575523310499337,1869692,3.536562204360962,3.575523614883423,3.6779356002807617,4.007436275482178,0,0.0,0.0
2018-01-30,3.535449266433716,3.6467672355816414,3.5131857753677957,3.589994935154344,758428,3.5844290256500244,3.534336566925049,3.6979730129241934,3.987399101257324,0,0.0,0.0
2018-01-31,3.4942619800567627,3.5844291351655926,3.4875825984997757,3.562165643248711,905080,3.4931490421295166,3.5744104385375977,3.749178647994995,3.985172271728516,0,0.0,0.0
