Date,Close,High,Low,Open,Volume
2021-04-30,14.651415824890137,16.17082038985934,13.566125124890123,13.656566304060458,7654100
2021-05-03,14.50671100616455,15.555824571819807,14.009285370279454,15.555824571819807,3088000
2021-05-04,14.38009262084961,15.031267745959,14.199211120825348,14.660458730259455,1238100
2021-05-05,14.126858711242676,14.560975179663723,14.11781442049179,14.551930888912839,832000
2021-05-06,13.81031608581543,14.334872866169484,13.756051204653172,14.334872866169484,637000
2021-05-07,13.837448120117188,14.036418201389903,13.394288229451119,13.882668710748854,804900
2021-05-10,13.665610313415527,13.982153591469041,13.665610313415527,13.837448388648363,601800
2021-05-11,13.56612491607666,13.70178582023303,13.340022834142049,13.56612491607666,383600
2021-05-12,13.611345291137695,13.927887683366816,13.43046380093377,13.475683526601516,531400
2021-05-13,14.63332748413086,15.212148280282118,13.611345937787517,13.837448026911858,3053300
2021-05-14,15.103619575500488,15.501557992743138,14.741854868884312,14.814207465203154,2071600
2021-05-17,15.266414642333984,15.917589862993257,14.931784465070574,15.275458934290063,1907100
2021-05-18,15.121707916259766,15.5558252618393,14.940827270205252,15.420162621020744,843700
2021-05-19,14.72376823425293,15.230236416075838,14.58810560472755,15.040309769753502,763800
2021-05-20,14.289652824401855,14.470534331037614,14.018330133192688,14.470534331037614,1061900
2021-05-21,14.434358596801758,14.723769881300305,14.28965338580803,14.28965338580803,509200
2021-05-24,14.6604585647583,15.311633682516609,14.55193052847994,14.633327418199727,987400
2021-05-25,14.488622665405273,14.895605401498763,14.47053408379523,14.633327868241459,516400
2021-05-26,14.497666358947754,14.75994388139997,14.479577778082907,14.597150103660379,363500
2021-05-27,14.38009262084961,14.687591602146364,14.362004902102695,14.551930692755926,445500
2021-05-28,14.226343154907227,14.542886427382674,14.153990554771873,14.425313236534965,745100
2021-05-31,14.06355094909668,14.425313968120404,13.774139671366628,14.253476749711904,682100
2021-06-01,14.470534324645996,14.5519312182239,14.027374417956366,14.217300215467787,594300
2021-06-02,14.144947052001953,14.542886350646663,14.072594452248369,14.470533750893079,568100
2021-06-04,14.172080039978027,14.452446167756946,14.036419121699335,14.181124331199563,437400
2021-06-07,13.936932563781738,14.280607840980512,13.864579964635787,14.045461462500663,628400
2021-06-08,13.593257904052734,13.909801186578417,13.566125893768293,13.864580594430311,690500
2021-06-09,13.9007568359375,13.909801126830484,13.683699029572207,13.683699029572207,430500
2021-06-10,14.144947052001953,14.19921107056163,13.891712090353387,14.000240989983762,468800
2021-06-11,14.027374267578125,14.190167190477677,13.927888793155624,14.190167190477677,282900
2021-06-14,13.837448120117188,14.199211120148462,13.837448120117188,14.126858520142207,376500
2021-06-15,13.918846130371094,14.126859656493737,13.873625536101926,14.000242165042282,304300
2021-06-16,13.945977210998535,14.072594693997948,13.837448309503769,14.009285521242722,252400
2021-06-17,13.882669448852539,14.045462376266356,13.747007669744775,13.936933470486787,298200
2021-06-18,13.819360733032227,13.918846213520935,13.701787532234455,13.801273012723163,347300
2021-06-21,13.665610313415527,13.936932999959819,13.629434012710359,13.882668980157586,439000
2021-06-22,13.538993835449219,13.828404244152614,13.349068039109854,13.665610458001428,740300
2021-06-23,13.22244930267334,13.638477157067099,13.22244930267334,13.566124561738704,866200
2021-06-24,13.46664047241211,13.665609685898463,13.340022994502698,13.340022994502698,318200
2021-06-25,13.448553085327148,13.566126283283603,13.204363260733807,13.557081992092089,328700
2021-06-28,13.294803619384766,13.566126318252023,13.249583025821709,13.47568513112591,403500
2021-06-29,13.837448120117188,13.837448120117188,13.159141848175278,13.159141848175278,511300
2021-06-30,13.98215389251709,13.98215389251709,13.575170285193462,13.74700750161506,513900
2021-07-01,13.665610313415527,14.090682493584548,13.665610313415527,13.94597729076387,391800
2021-07-02,13.63847827911377,13.918845255960507,13.63847827911377,13.665610288966343,420700
2021-07-05,13.575170516967773,13.810316911884552,13.575170516967773,13.710831434221488,177200
2021-07-06,13.493772506713867,13.647521993570725,13.385243609375673,13.620389984863928,266600
2021-07-07,13.475683212280273,13.701785285389077,13.475683212280273,13.548035806674214,194900
2021-07-08,13.475683212280273,13.81935846690697,13.294801726295423,13.385242900543329,400200
2021-07-12,13.340023040771484,13.692742604556862,13.340023040771484,13.56612512620829,285200
2021-07-13,13.204363822937012,13.439509366350649,13.159143227565156,13.340024746541461,411900
2021-07-14,13.213407516479492,13.376201318072175,13.204364087233003,13.204364087233003,225500
2021-07-15,13.14105224609375,13.421419196221766,13.113920238826832,13.213404840479503,305600
2021-07-16,13.22244930267334,13.285757607957942,12.98730293660057,13.17722871496535,314600
2021-07-19,12.706937789916992,13.132009965952818,12.598408888856767,13.113921384520598,529400
2021-07-20,12.571276664733887,12.96017256046315,12.417527164678647,12.752159038336108,977800
2021-07-21,11.992454528808594,12.743113365320456,11.992454528808594,12.58936388193745,1159900
2021-07-22,11.757309913635254,12.390395659559545,11.63069241944595,12.091940938445077,1455100
2021-07-23,11.856793403625488,12.1914243965565,11.70304391193948,11.757308793568496,667000
2021-07-26,12.182380676269531,12.182380676269531,11.86583740979755,11.86583740979755,491700
2021-07-27,12.336130142211914,12.526055929253312,12.073851756536746,12.209512663347311,563500
2021-07-28,12.390395164489746,12.571276675739238,12.245689955490153,12.408483746870235,817300
2021-07-29,12.345174789428711,12.507968583688523,12.028632354770416,12.381351092318548,426900
2021-07-30,12.607451438903809,13.023479295245567,12.119070986894874,12.236644170481782,927400
2021-08-02,13.005392074584961,13.023479792937488,12.679805381640376,12.679805381640376,386300
2021-08-03,12.942085266113281,13.032525593376766,12.480836750782853,13.023481301897084,222100
2021-08-04,12.507966995239258,12.942083437297773,12.498922705037604,12.942083437297773,310200
2021-08-05,12.23664379119873,12.73406851787579,12.23664379119873,12.652671634645424,204700
2021-08-06,12.625541687011719,12.661717989624488,12.245690078322097,12.318042683547636,188100
2021-08-09,13.113921165466309,13.141053174650395,12.66171698734678,12.697893287095903,416100
2021-08-10,13.023480415344238,13.376199996440992,13.023480415344238,13.159142190771167,333200
2021-08-11,12.978260040283203,13.122965236862948,12.788334254144536,13.122965236862948,249100
2021-08-12,13.186273574829102,13.367155070966543,12.896863181009195,13.050612668353772,230200
2021-08-13,13.656567573547363,13.774139909882678,12.969216962988899,13.104877881844162,441200
2021-08-16,12.82451057434082,13.656566318551173,12.453703291868795,13.656566318551173,748900
2021-08-17,12.489880561828613,13.023480800937776,12.363263073516855,12.933040477153156,426200
2021-08-18,13.14105224609375,13.466639783340604,12.571274918422718,12.643627512808472,450700
2021-08-19,13.204363822937012,13.312892734322794,12.60745351654853,12.66171840349698,286100
2021-08-20,13.204363822937012,13.240540126732272,12.969217417012256,13.168187519141751,307600
2021-08-23,13.095831871032715,13.529948306887746,13.050612145692606,13.340022527921978,327100
2021-08-24,13.005392074584961,13.457596246041277,12.851642587288932,13.113920972233155,252100
2021-08-25,12.933040618896484,13.113922130959223,12.933040618896484,13.00539322372158,133800
2021-08-26,12.806422233581543,13.077744913956275,12.688849043335457,12.933039714426023,181100
